Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Top 5 vs Other Sales,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Contribution Pct,East Decaf Sales,Expenses to Sales Ratio,Inventory,Major Market Profit,Margin,Marketing,Pct in Major Market,Profit,Sales,Total Expenses
719,1/3/2012,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Others,Regular,90,130,100,220,89,0,0,0.164383562,777,94,130,24,1,94,219,36
970,1/3/2012,Central,Major Market,Colombian,Beans,Coffee,Colorado,Top 5 Products,Regular,80,110,80,190,83,0,0,0.205263158,623,68,107,27,1,68,190,39
970,1/3/2012,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Others,Decaf,100,140,110,240,95,0,0,0.162393162,821,101,139,26,1,101,234,38
303,1/3/2012,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Others,Regular,30,50,30,80,44,0,0,0.26,623,30,56,14,1,30,100,26
303,1/3/2012,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Top 5 Products,Regular,60,90,70,150,54,0,0,0.194029851,456,54,80,15,1,54,134,26
720,1/3/2012,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Top 5 Products,Decaf,80,130,80,210,72,0,0,0.305555556,558,53,108,23,1,53,180,55
970,1/3/2012,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Top 5 Products,Decaf,140,160,110,300,170,0,0,0.211143695,1091,99,171,47,1,99,341,72
719,1/3/2012,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Top 5 Products,Decaf,50,80,20,130,63,0,0,0.58,435,0,87,57,,0,150,87
970,1/3/2012,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Others,Decaf,50,70,40,120,60,0,0,0.335714286,336,33,80,19,1,33,140,47
719,1/3/2012,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Others,Regular,40,70,20,110,58,0,0,0.423076923,338,17,72,22,1,17,130,55
303,1/3/2012,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Others,Regular,50,70,40,120,64,0,0,0.285714286,965,36,76,19,1,36,140,40
